objectid,site_code,common_nm,managing_dept,location,cmty_plan,desg_use,site_acres,dedicated_park,pud_branch,site_restriction,reso_ord_num,reso_ord_dt,globalid,shape_Length,shape_Area
729,H619RO,SABRE SPRINGS OPEN SPACE,Parks & Recreation,SPRINGBROOK & SPRINGHURST DR,Sabre Springs,OSDED,39.018999999999998,Y,,DEDOS,R-307952,01/02/2013,{F0BDC2FE-6529-4C37-9852-9BC9AB417657},6271.091346168745986,1699045.423262699972838
730,K305PM,SITE 416,Real Estate,SORRENTO VLY RD NWLY WATSONIA,Torrey Pines,NOT DESIGNATED,11.640000000000001,N,,UNK,R-251353,03/10/1980,{D3183CBA-D3F6-4F84-8D22-0ABAB7A679F3},3217.177896903158853,512075.384446953597944
731,M511RU,TIERRASANTA OPEN SPACE,Parks & Recreation,CLMNT MESA BLV WLY ANTIGUA,Tierrasanta,OSDESG,1.050000000000000,N,,NONE,R-000000,?,{2234FD1A-702B-45C3-889B-B453D92251CD},1078.048663053710470,47686.854848434559244
732,G314RS,Pacific Highlands Ranch Community Park,Parks & Recreation,Village Center Loop Rd.,Pacific Highlands Ranch,CMTYPK,13.599000000000000,N,,NONE,R-319716,10/29/2016,{332AA20C-4B2E-419D-B13A-DB3E3161E3C8},3066.382377037426977,587398.618010721867904
733,N218PM,DESERT VIEW DR HOUSE SITE(DEMOLISHED),Real Estate,"5635 DESERT VIEW DR, LA JOLLA 92037",La Jolla,NOTDESG,0.730000000000000,N,,SFR,R-250320,?,{F6C149F0-11EC-427F-BD14-81EA43D1D444},887.682793046314600,32760.480796566975187
734,D602R2,RANCHO BERNARDO,Parks & Recreation,ESCALA DR ELY I-15,Rancho Bernardo,OSDESG,5.000000000000000,N,WATER,NONE,R-251224,02/19/1980,{62FB7AEE-1A57-4029-B469-CB5D2AB7EBB9},2478.709153303383118,217454.463172879419290
735,P526RU,UNIVERSITY HEIGHTS OPEN SPACE,Parks & Recreation,TEXAS ST NELY ADAMS AV,Greater North Park,OSDESG,2.474000000000000,N,,NONE,R-000000,?,{1D8B4320-5483-4D56-99EC-F26F7479463B},1894.875360395184543,99269.727165218035225
736,Q536GM,FLORIDA/MONROE ST ISLAND,Transportation,FLORIDA ST & MONROE AV,Greater North Park,STRISL,0.024000000000000,N,,NONE,R-000000,?,{6B8E321A-0E8E-4208-A80D-6677A3594AE6},130.498893242443671,680.991562670016265
737,U701LB,PARADISE HILLS BRANCH LIBRARY,Library,5922 RANCHO HILLS DR.,Skyline-Paradise Hls,LIB,0.471000000000000,N,,SFR,R-172716,09/20/1962,{D0EE171A-D0A7-491C-B343-1552E57C3F49},588.330322420673269,18234.467519034391444
738,R606R3,CHOLLAS LAKE COMM PARK,Parks & Recreation,COLLEGE GROVE DR SLY OF,Eastern Areas,CMTYPK,16.079999999999998,N,,UNK,R-000000,?,{2DD12E72-C897-418B-8DBC-F442022A576D},4475.559508212655601,706248.248378873569891
739,C701WM,ESCONDIDO MUNI GOLF COURSE,PUD - Water,SAN PASQUAL RD ELY SIERRA LINDA DR,Co-Escondido,LEASE,8.095000000000001,N,WATER,SFR,R-250320,10/01/1979,{8402310B-7FEF-415B-8139-47ACE5CC04FE},2619.871583923088110,358245.474713163159322
740,P309P1,SITE 451 POR (TROLLEY PARKING),Real Estate,FRIARS RD & MORENA NE COR,Linda Vista,PARKING,1.212000000000000,N,,NONE,R-223356,04/24/1979,{DC46DE3C-3557-44B5-AC71-2E884CC5A1FC},1332.772063790237098,50987.748782350718102
741,Z606MM,SO BAY LAND OUTFALL PROJ (NO STRUCTURE),PUD - Wastewater,NWLY DAIRY MART & MONUMENT RDS,Tijuana River Vly,SWRTRT,5.350000000000000,N,WASTE,SFR,R-250320,10/01/1979,{2E729EF1-07A3-4AE2-8448-489BDDCA8DCC},3110.133964033908796,233079.761601093021454
742,M614RU,TIERRASANTA OPEN SPACE,Parks & Recreation,NLY PORTOBELLO ELY VIA VALARTA,Tierrasanta,OSDESG,0.114000000000000,N,,NONE,R-271392,07/11/1988,{2E214CAC-BD89-47AB-BDBA-5B4CB00242C0},280.980767368933300,4290.130047485028626
743,H227RS,CARMEL GROVE NEIGHBORHOOD PK,Parks & Recreation,CARMEL CREEK RD AT CARMEL GROVE,Carmel Valley,NPARK,3.000000000000000,N,,NONE,R-277461,03/04/1991,{658F05E9-D8AB-4E20-BF29-A83241A2A0C0},1496.886822607433487,131514.279103145061526
744,R562RO,SWITZER OPEN SPACE,Parks & Recreation,REDWOOD ST & 31ST ST,Greater North Park,OSDED,0.291000000000000,Y,,NONE,O-19015,12/13/2001,{590D1331-65C4-4A67-882A-9A5B0A98C35F},454.009604909704706,12567.286436865726500
745,K405VM,PARKING FACILITY,Environmental Services,MIRAMAR PL SLY MARINDUSTRY DR,University,PARKING,1.950000000000000,N,,NONE,R-291076,12/07/1998,{6B315EE3-F588-46BE-A558-F826DDE6C4DA},1278.726809680349106,89165.487140558048850
746,I204RU,SORRENTO HILLS OPEN SPACE,Parks & Recreation,EL CMNO REAL NLY ARROYO SORRENTO RD,Torrey Hills,OSDED,99.965000000000003,Y,,DEDOS,R-307952,01/02/2013,{0B3FFB05-326F-4DFC-AC7D-4D45417D4571},20954.990537942569063,4354136.727394307032228
747,J208GM,FLINTKOTE MITIGATION SITE,Transportation,FLINTKOTE AV & ESTUARY WY,Torrey Pines,MIT,1.820000000000000,N,,NONE,R-278304,07/15/1990,{C1FDA307-6C3F-4A52-9851-DF86B904ACA4},1249.302545721677234,79760.897062607575208
748,O618PM,ADMIRAL BAKER RD ADJUNCT,Real Estate,FRIARS RD ELY ADMIRAL BAKER RD,Tierrasanta,NOTDESG,2.280000000000000,N,,UNK,R-000000,?,{70DE25BE-8485-416F-89CE-08666BDAC2E4},1932.864993792939003,103068.092389621539041
