ein,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
330893362,San Diego,CA,92117-3136,3,2016.0,160391.0,155732.0,38314.0,
452444163,San Diego,CA,92121-2700,3,2021.0,32725.0,35738.0,85058.0,
934239962,San Diego,CA,92116-2041,3,,,,,
330175231,San Diego,CA,92169-1025,3,2023.0,39536.0,42304.0,34715.0,
953446493,San Diego,CA,92130-1855,3,2023.0,54304.0,54744.0,41827.0,
843158163,San Diego,CA,92105-5357,3,2023.0,39000.0,41360.0,6970.0,
463932011,San Diego,CA,92106-6050,3,2023.0,98542.0,66004.0,112530.0,
463152604,San Diego,CA,92130-2051,3,2023.0,39641.0,78895.0,1480.0,
330864669,San Diego,CA,92111-7510,3,2023.0,38920.0,45400.0,66767.0,
851074150,San Diego,CA,92127-1369,3,2023.0,39147.0,21440.0,32862.0,
814242604,San Diego,CA,92113-1208,3,2023.0,7490.0,7791.0,1.0,
330494795,San Diego,CA,92109-2306,3,2023.0,1503.0,10668.0,36884.0,
453180885,San Diego,CA,92123-4802,3,2023.0,12357.0,16393.0,22214.0,
330546094,San Diego,CA,92128-3779,3,2020.0,12032.0,12015.0,2220.0,
330761524,San Diego,CA,92175-5292,3,2022.0,9197.0,9969.0,74663.0,
833121034,San Diego,CA,92110-2451,3,2021.0,0.0,0.0,0.0,
464408086,San Diego,CA,92127-3517,3,2017.0,115001.0,384602.0,225766.0,
271372487,San Diego,CA,92108-1328,3,2022.0,37.0,75.0,1216.0,
330821042,San Diego,CA,92117-1912,3,2021.0,200.0,1269.0,40862.0,
933824127,San Diego,CA,92139-4017,3,,,,,
593818295,San Diego,CA,92123-3714,3,,,,,
271560315,San Diego,CA,92104-3623,3,2021.0,0.0,0.0,1.0,
475453046,San Diego,CA,92174-0636,3,,,,,
201323759,San Diego,CA,92163-1151,3,,,,,
843565653,San Diego,CA,92121-4138,3,,,,,
471869847,San Diego,CA,92123-4379,3,2015.0,29828.0,15065.0,14763.0,
471524371,San Diego,CA,92142-0794,3,,,,,
237307341,San Diego,CA,92163-0000,3,,,,,
330120979,San Diego,CA,92110-2233,3,,,,,
934662956,San Diego,CA,92115-6135,3,,,,,
823696828,San Diego,CA,92195-3972,3,,,,,
471135359,San Diego,CA,92124-1150,3,,,,,
824602041,San Diego,CA,92120-2116,3,,,,,
330766962,San Diego,CA,92123-4491,3,,,,,
923380840,San Diego,CA,92130-6621,3,,,,,
851439461,San Diego,CA,92159-1072,3,,,,,
383990030,San Diego,CA,92122-2309,3,,,,,
993419218,San Diego,CA,92126-6110,3,,,,,
463075377,San Diego,CA,92118-2618,3,,,,,
510135672,San Diego,CA,92163-2903,3,,,,,
463039179,San Diego,CA,92114-7135,3,2021.0,0.0,0.0,1.0,
330877466,San Diego,CA,92177-7560,3,2023.0,9757.0,15194.0,34305.0,
271654925,San Diego,CA,92101-1605,3,,,,,
931939344,San Diego,CA,92114-4316,3,,,,,
453850870,San Diego,CA,92130-1426,3,,,,,
680621441,San Diego,CA,92159-0092,3,,,,,
453746757,San Diego,CA,92121-4311,3,,,,,
271787449,San Diego,CA,92118-2618,3,,,,,
237262124,San Diego,CA,92123-1565,3,2018.0,1.0,1960.0,14931.0,
260670991,San Diego,CA,92106-2210,3,,,,,
454177895,San Diego,CA,92110-2087,3,2017.0,6800.0,4598.0,9055.0,
330299302,San Diego,CA,92138-4682,3,,,,,
311739584,San Diego,CA,92120-2418,3,,,,,
923127625,San Diego,CA,92119-2767,3,,,,,
953755649,San Diego,CA,92108-4324,3,2022.0,0.0,0.0,1.0,
510602316,San Diego,CA,92103-3312,3,2013.0,2601.0,0.0,3365.0,
934768510,San Diego,CA,92106-2797,3,,,,,
300511396,San Diego,CA,92108-4105,3,,,,,
352492088,San Diego,CA,92127,3,2017.0,0.0,0.0,1.0,
123866056,San Diego,CA,92150-0911,3,,,,,
953458595,San Diego,CA,92101-0000,3,,,,,
912162618,San Diego,CA,92130-2045,3,2013.0,0.0,0.0,2748.0,
201824380,San Diego,CA,92120-1917,3,2011.0,33224.0,37850.0,7653.0,
330326751,San Diego,CA,92110-3725,3,2014.0,18448.0,18035.0,30994.0,
822749652,San Diego,CA,92122-2902,3,2018.0,21908.0,14255.0,7652.0,
330498758,San Diego,CA,92115-6330,3,2013.0,19323.0,20325.0,401804.0,
956079748,San Diego,CA,92163-5057,3,2015.0,38775.0,31210.0,156864.0,
200612830,San Diego,CA,92103-3312,3,2015.0,2633.0,2620.0,13.0,
330962920,San Diego,CA,92175-1524,3,,,,,
330205142,San Diego,CA,92150-3835,3,2017.0,1535.0,1133.0,589.0,
921693949,San Diego,CA,92119,3,,,,,
301290831,San Diego,CA,92128-3350,3,,,,,
833191561,San Diego,CA,92150-1643,3,,,,,
873094691,San Diego,CA,92109-5025,3,,,,,
330833642,San Diego,CA,92127-3449,3,,,,,
593798978,San Diego,CA,92109-6518,3,,,,,
953619032,San Diego,CA,92160-0113,3,2020.0,16468.0,25287.0,21106.0,
882259102,San Diego,CA,92195-7047,3,,,,,
263734590,San Diego,CA,92191-0000,3,2015.0,21188.0,21180.0,1221.0,
843556495,San Diego,CA,92126-3530,3,,,,,
465156400,San Diego,CA,92198-0177,3,,,,,
883061096,San Diego,CA,92198-1642,3,,,,,
843624529,San Diego,CA,92122-1914,3,,,,,
330743295,San Diego,CA,92112-0465,3,,,,,
814082393,San Diego,CA,92128-1004,3,,,,,
330825139,San Diego,CA,92120-1804,3,,,,,
330103012,San Diego,CA,92166-0000,3,2022.0,42.0,1705.0,4401.0,
205019832,San Diego,CA,92111-4020,3,,,,,
824448760,San Diego,CA,92101-6096,3,,,,,
992598922,San Diego,CA,92130-2639,3,,,,,
813699232,San Diego,CA,92101-1502,3,,,,,
460858513,San Diego,CA,92105-4022,3,,,,,
274301740,San Diego,CA,92117-6229,3,2016.0,13391.0,12365.0,1714.0,
823252129,San Diego,CA,92129-2813,3,2019.0,138328.0,41346.0,96982.0,
873951101,San Diego,CA,92120-4628,3,2021.0,0.0,0.0,1.0,
810647660,San Diego,CA,92119-1612,3,,,,,
832403953,San Diego,CA,92160-7039,3,,,,,
871147383,San Diego,CA,92109-4404,3,,,,,
821424334,San Diego,CA,92102-2111,3,,,,,
330821345,San Diego,CA,92107-1167,3,2012.0,24290.0,34797.0,11226.0,
412077165,San Diego,CA,92129-2889,3,,,,,
010736017,San Diego,CA,92154-4302,3,,,,,
934236317,San Diego,CA,92101-8131,3,,,,,
331035597,San Diego,CA,92150-2345,3,,,,,
