ein,strein,name,sub_name,city,state,ntee_code,subseccd,score,search_query,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
463297383,46-3297383,San Diego Alpha Foundation,San Diego Alpha Foundation,San Diego,CA,A23,3,86.63316,san diego,San Diego,CA,92129-2813,3,,,,,
330893362,33-0893362,San Diego Music Foundation,San Diego Music Foundation,San Diego,CA,B12,3,86.63316,san diego,San Diego,CA,92117-3136,3,2016.0,160391.0,155732.0,38314.0,
452444163,45-2444163,San Diego Entrepreneurs Exchange,San Diego Entrepreneurs Exchange,San Diego,CA,S30,3,86.63316,san diego,San Diego,CA,92121-2700,3,2021.0,32725.0,35738.0,85058.0,
934239962,93-4239962,Historic Kensington San Diego,Historic Kensington San Diego,San Diego,CA,S20,3,86.63316,san diego,San Diego,CA,92116-2041,3,,,,,
330175231,33-0175231,San Diego Lifesaving Association,San Diego Lifesaving Association,San Diego,CA,M03,3,86.63316,san diego,San Diego,CA,92169-1025,3,2023.0,39536.0,42304.0,34715.0,
953446493,95-3446493,San Diego Folk Heritage,San Diego Folk Heritage,San Diego,CA,A200,3,86.63316,san diego,San Diego,CA,92130-1855,3,2023.0,54304.0,54744.0,41827.0,
843158163,84-3158163,Community Wellbeing San Diego,Community Wellbeing San Diego,San Diego,CA,P20,3,86.63316,san diego,San Diego,CA,92105-5357,3,2023.0,39000.0,41360.0,6970.0,
463932011,46-3932011,Team Hoyt San Diego,Team Hoyt San Diego,San Diego,CA,P20,3,86.63316,san diego,San Diego,CA,92106-6050,3,2023.0,98542.0,66004.0,112530.0,
463152604,46-3152604,San Diego Mentors Inc,San Diego Mentors Inc,San Diego,CA,O50,3,86.63316,san diego,San Diego,CA,92130-2051,3,2023.0,39641.0,78895.0,1480.0,
330864669,33-0864669,Svenska Skolan San Diego,Svenska Skolan San Diego,San Diego,CA,A70,3,86.63316,san diego,San Diego,CA,92111-7510,3,2023.0,38920.0,45400.0,66767.0,
851074150,85-1074150,San Diego Harmonics Chorale,San Diego Harmonics Chorale,San Diego,CA,A6B,3,86.63316,san diego,San Diego,CA,92127-1369,3,2023.0,39147.0,21440.0,32862.0,
